created_at,full_text,sentimen
Mon Jan 29 04:56:52 +0000 2024,"@BHauser Keren banget nih Kampanye Damai Bareng02 dari Pak Prabowo dan Mas Gibran, menunjukkan kematangan dan fokus pada visi-misi yang bermanfaat untuk rakyat. 👏",positif
Mon Jan 29 04:56:48 +0000 2024,"@ekokuntadhi1 Lihat baik2 videonya,jangan asal comot aja Mas @ekokuntadhi1 ,tidak terlihat satupun itu anggota TKN Prabowo-Gibran,mungkin acara belum mulai atau sudah selesai. Itu di video orang main band kali aja udah bubar 4 jm yang lalu. Benci sama orang sampe fitnah,ye sekarang anti Pakde",
Mon Jan 29 04:56:44 +0000 2024,@rindubeneran Kami yakin pilihan gua hanya pak prabowo gibran Kampanye Damai Bareng02,positif
Mon Jan 29 04:56:42 +0000 2024,Ketua TKN Rosan Roeslani mengucapkan terima kasih atas dukungan pengusaha bela bangsa yang mendeklarasikan dukungannya pada pasangan Prabowo-Gibran. #KinerjaBukanOmonOmon https://t.co/kiDornGUg3,positif
Mon Jan 29 04:56:27 +0000 2024,"@VIVAcoid gak lagi lagi deh buat pilih prabowo gibran, udah muak aku sama blunder dan gimmick paslon 02 kebanyakan pencitraan juga sekarang aku beralih pilih ganjar mahfud",negatif
Mon Jan 29 04:56:13 +0000 2024,@AsyilaRiani Capres Prabowo Subianto menyatakan komitmen tegasnya untuk menjalani kontestasi politik dengan sikap yang santun dan damai. dekade08 Prabowo - Gibran,
Mon Jan 29 04:56:02 +0000 2024,"@AsyilaRiani Prabowo: Saya lebih dulu minta petunjuk Jokowi cari lokasi terbaik untuk SMA Taruna Nusantara."" dekade08 Prabowo - Gibran""",
Mon Jan 29 04:55:47 +0000 2024,TANAH DATAR Petjahh Petjaah All In Prabowo-Gibran!!!  #sumbar #limapuluhkota #prabowogibran2024 #prabowo #gibran #prabowopresiden2024 #konserindonesiamajusumbar #konserindonesiamaju #prabowopresiden #koalisiindonesiamaju https://t.co/uxBwHuvGba,positif
Mon Jan 29 04:55:37 +0000 2024,@AsyilaRiani Pasangan Prabowo - Gibran semakin solid dengan deklarasi dukungan dari Dewan Pimpinan Pusat Relawan Martabat! dekade08,positif
Mon Jan 29 04:55:28 +0000 2024,"negara kita dalam keadaan sekarang akan meningkat ekonominya bla bla bla', atau kau ingin dengar saya bicara apa adanya? katanya. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",positif
Mon Jan 29 04:55:27 +0000 2024,"Dia lalu menirukan gaya bicara seperti orang yang menjanjikan hal-hal manis. 'Saudara-saudara saya sekalian yang saya hormati, #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",
Mon Jan 29 04:55:26 +0000 2024,"Lebih lanjut, Prabowo mengungkap penasihatnya bahkan sampai merasa khawatir setiap dirinya berbicara di publik. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
Mon Jan 29 04:55:26 +0000 2024,"Enggak bisa ngomong manis-manis. Enggak bisa ngomong mbulet, ngalor ngidul, nggak jelas, kata-kata manis, omon-omon, omon-omon terus,"" ucapnya. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",
Mon Jan 29 04:55:25 +0000 2024,Dia mengaku tak ingin berbicara yang manis-manis di depan publik. Prabowo lantas menyindir hal itu seperti 'ngalor ngidul'. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran,positif
Mon Jan 29 04:55:25 +0000 2024,"Saudara-saudara sekalian, saya sering ditegur oleh elite-elite Jakarta, 'Pak Prabowo kok ngomongnya kasar-kasar ya', aku ini mantan serdadu, ya ngomongnya kayak gitu,"" kata Prabowo. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",
Mon Jan 29 04:55:24 +0000 2024,"Namun, Prabowo menyebut bahwa dirinya tak bisa dibuat-buat ketika bicara di hadapan publik. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
Mon Jan 29 04:55:24 +0000 2024,"Pada kesempatan itu, Prabowo juga mengaku bahwa dirinya sering ditegur oleh elite-elite di ibu kota karena kasar saat berbicara. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",negatif
Mon Jan 29 04:55:23 +0000 2024,"Saudara-saudara, hampir semua survei mengatakan kita sudah satu putaran, tapi kita tidak boleh lengah, kita tidak boleh santai,"" ucapnya. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",positif
Mon Jan 29 04:55:23 +0000 2024,"Lebih jauh, Prabowo mengklaim, berdasarkan hasil survei pihaknya akan menang satu putaran dalam Pilpres 2024. Kendati begitu, dia menegaskan, tak akan lengah. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",positif
Mon Jan 29 04:55:22 +0000 2024,"Katanya bocah cilik, ora ngerti opo-opo, masih ingusan, sorry ye. Ternyata tiap kali beliau muncul di debat, eh kita naik terus,"" ucapnya. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",positif
Mon Jan 29 04:55:22 +0000 2024,"Padahal, kata dia, performa Gibran saat debat membuat elektabilitas paslon terus meningkat. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
Mon Jan 29 04:55:21 +0000 2024,Prabowo menyinggung bahwa Gibran kerap kali dianggap hanya seorang bocah yang tidak mengerti apa-apa. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran,negatif
Mon Jan 29 04:55:20 +0000 2024,"Dan anak muda kita Mas Gibran Rakabuming Raka, ucap Prabowo di hadapan pendukung. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",
Mon Jan 29 04:55:20 +0000 2024,"Pak Zulhas saudara-saudara sekalian, Menteri Perdagangan, Ketua MPR berapa gudang pengalaman. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
Mon Jan 29 04:55:19 +0000 2024,"AHY, lulusan terbaik di Indonesia di Amerika, di mana-mana. Mereka-mereka semuanya putra putri terbaik Indonesia. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
Mon Jan 29 04:55:19 +0000 2024,"Kau lihat itu, tokoh-tokoh yang ada di koalisi kami. Pak Airlangga, Menko Perekonomian, berapa kali jadi menteri. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",
Mon Jan 29 04:55:18 +0000 2024,Prabowo awalnya menyebut tokoh-tokoh Koalisi Indonesia Maju merupakan yang terbaik. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran,positif
Mon Jan 29 04:55:18 +0000 2024,"'Kirab Kebangsaan Prabowo-Gibran di Lapangan Pancasila Simpang Lima, Semarang, Jawa Tengah, Minggu (28/1/2024). #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
Mon Jan 29 04:55:17 +0000 2024,Hal itu disampaikan Prabowo dalam sambutannya di acara kampanye akbar bertajuk #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran,
Mon Jan 29 04:55:17 +0000 2024,"Gibran Rakabuming Raka, bocah ingusan. Dia menyebut Gibran justru membuat elektabilitas kian meningkat setiap debat. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",negatif
Mon Jan 29 04:55:16 +0000 2024,"Capres nomor urut 2 Prabowo Subianto kembali menyinggung pihak yang sempat menyebut pasangan pilpresnya, #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
Mon Jan 29 04:55:15 +0000 2024,"Prabowo: Gibran Katanya Bocah Ingusan, Ternyata Tiap Debat Kita Naik Terus #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran https://t.co/M6dh46fo8A",positif
Mon Jan 29 04:55:08 +0000 2024,"@AsyilaRiani Pertemuan Capres Prabowo Subianto dengan Uskup Agung Jakarta Ignatius Kardinal Suharyo dan KWI di Jalan Cut Meutia 10, Jakarta Pusat, berlangsung akrab. dekade08 Prabowo - Gibran",positif
Mon Jan 29 04:55:08 +0000 2024,Anggota polsek kasuhann melaksanakan jalur simoatisan  pengamanan kampanye deklarasi prabowo gibran di Kulon progo Sabtu 27/1/2024 https://t.co/fQXIaSHDIc,
Mon Jan 29 04:55:00 +0000 2024,"Soal Presdien Boleh Kampanye, Wabendum DPP Golkar Hariara Tambunan Respon Positif  https://t.co/YQnxbdrmwc  #golkar #kabargolkar #golkarindonesia #airlanggahartarto #golkar2024 #golkarsolid #golkarprabowo #pemilu2024 #pemiludamai #pemilu #prabowogibran https://t.co/Rcinw3P8a4",
Mon Jan 29 04:54:59 +0000 2024,@Ndons_Back @prabowo @gibran_tweet @prabowogibran2 @bengkeldodo @Bank_Joee_ @BANGSAygSUJUD @are_inismyname @florieliciouss @P4P4B0W0_2024 @seeksixsuck Gombal... Dan ketika sudah mendapatkan sedikit kekuasaan dia gk malu2 menawarkan sejumlah uang https://t.co/Vvs9dZD93r,
Mon Jan 29 04:54:54 +0000 2024,@PartaiGolkar SALAM 4 JARI  adalah No 4 untuk GOLKAR  SALAM PRABOWO - GIBRAN....,positif
Mon Jan 29 04:54:40 +0000 2024,"@yaiaja @Gank_Of_Petojo @aniesbaswedan @cakimiNOW Cak Imin tau posisi Cawapres sudah milik Gibran, tapi mau Jokowi pasangkan dengan siapa kan masih ghoib waktu itu. Begitu tau Jokowi fix milih Prabowo, Cak Imin balik kanan langsung ngelamar Anies, ambang batas PT dipenuhi, maju.. PKB dalam posisi parlemen yg bagus, kapan lagi..",
Mon Jan 29 04:54:35 +0000 2024,"Prabowo-Gibran Unggul Hampir Tiap Survei, Relawan Gibran ini Yakin Pilpres Cuma 1 Putaran https://t.co/fmnQVSGblv",positif
Mon Jan 29 04:54:20 +0000 2024,Gebyar Gemoy Prabowo-Gibran sepi pendukung. Yakin 1 putaran ?  Heheheehhehe....hebat nih bakal satu putaran. 🤣🤣🤣  https://t.co/AKMGt9vu1m,negatif
Mon Jan 29 04:53:59 +0000 2024,"Pilpres Sepertinya Cuma 1 Putaran Dimenangkan Prabowo-Gibran, itu Keyakinan Ketum RPGM Maulidan Isbar - Indonesia Berita https://t.co/6KKVqzGD6V",positif
Mon Jan 29 04:53:50 +0000 2024,"@AsyilaRiani Prabowo Subianto memberikan dukungan materiil kepada Wilfrida di Atambua, NTT. dekade08 Prabowo - Gibran",positif
Mon Jan 29 04:53:40 +0000 2024,@AsyilaRiani Prabowo Nomor 2: Bener-bener terharu ketemu lagi sama Wilfrida Soik! dekade08 Prabowo - Gibran,
Mon Jan 29 04:52:51 +0000 2024,"@fadlizon @prabowo @gibran_tweet Rehe amat wa,karunya pisan euy 🙈",
Mon Jan 29 04:52:45 +0000 2024,karena berkomitmen melanjutkan dan menyempurnakan program kesejahteraan yang dimulai di era Presiden Joko Widodo. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran,positif
Mon Jan 29 04:52:11 +0000 2024,"@AsyilaRiani Keren banget, ya! Prabowo - Gibran bakal wujudin dana abadi pesantren. dekade08",positif
Mon Jan 29 04:52:00 +0000 2024,53% - Prabowo Subianto  - Gibran Rakabuming https://t.co/Umtz4KXQFm,
Mon Jan 29 04:51:40 +0000 2024,@AsyilaRiani Capres Nomor 2 Prabowo berkomitmen untuk memberikan contoh dalam berpolitik dengan cara yang santun dan damai. dekade08 Prabowo - Gibran,positif
Mon Jan 29 04:51:24 +0000 2024,"@HardinalEdi @ruhutsitompul Kalau Prabowo Gibran yang kalah, lebih banyak yang nangis lagi dan aku tertawa terbahak-bahak",negatif
Mon Jan 29 04:51:17 +0000 2024,"Saudara-saudara sekalian, saya sering ditegur oleh elite-elite Jakarta, 'Pak Prabowo kok ngomongnya kasar-kasar ya', aku ini mantan serdadu, ya ngomongnya kayak gitu,"" kata Prabowo. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran""",positif
Mon Jan 29 04:51:16 +0000 2024,"Namun, Prabowo menyebut bahwa dirinya tak bisa dibuat-buat ketika bicara di hadapan publik. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
Mon Jan 29 04:51:16 +0000 2024,"Pada kesempatan itu, Prabowo juga mengaku bahwa dirinya sering ditegur oleh elite-elite di ibu kota karena kasar saat berbicara. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran",
